book_name,book_author,book_narrator,book_price,book_imagelink
Stay Awhile and Listen,David L. Craddock,Mike Rylander,$19.95,https://m.media-amazon.com/images/I/61dGpWxv9yL._SL500_.jpg
Machine Learning 2020,Bill Hanson,Kevin Tromp,$19.95,https://m.media-amazon.com/images/I/51M9y-Ag+-L._SL500_.jpg
The Idea Factory,Jon Gertner,Chris Sorensen,$29.95,https://m.media-amazon.com/images/I/51eJzmuMVUL._SL500_.jpg
Python Programming: 3 Books in 1,Ryan Turner,Russell Newton,$19.95,https://m.media-amazon.com/images/I/51f1qEjkQrL._SL500_.jpg
Non-Fungible Token (NFT) for Beginners,Mehdi Ben,Kevin Hurst,$6.95,https://m.media-amazon.com/images/I/41qzZzD9TZL._SL500_.jpg
Cyber Security - 3 Book Combo,Cybersecurity and Infrastructure Security Agency - FTC - US Department of Defense,Tom Brooks,$14.95,https://m.media-amazon.com/images/I/514G30Pk2tS._SL500_.jpg
Facebook Ads [Spanish Edition],Riley Reive,Alfonso Sales,$6.95,https://m.media-amazon.com/images/I/61+BLZIWSlL._SL500_.jpg
Paper,Mark Kurlansky,Andrew Garman,$29.95,https://m.media-amazon.com/images/I/61rlAWqF-lL._SL500_.jpg
How to Advertise on Facebook,Jim Norton,Samuel Prost,$14.95,https://m.media-amazon.com/images/I/51+dj2BZYnL._SL500_.jpg
A World Without Email,Cal Newport,Kevin R. Free,$31.50,https://m.media-amazon.com/images/I/41VQ+D8nUEL._SL500_.jpg
"Be a Vlogging Superstar! How to Start, Run & Grow a Successful Vlog",Rebecca O'Neal,Catherine O'Connor,$6.95,https://m.media-amazon.com/images/I/51LttDbI8WL._SL500_.jpg
Clean Agile,Robert C. Martin,Theodore O'Brien,$39.99,https://m.media-amazon.com/images/I/416ishNzDYL._SL500_.jpg
Wordpress for Beginners: 3 Books in 1,Daniel Jones,William Bahl,$14.95,https://m.media-amazon.com/images/I/51yg2gNaGXL._SL500_.jpg
Web Development,Andy Vickler,Chuck Roe,$29.95,https://m.media-amazon.com/images/I/51KmelofZaS._SL500_.jpg
Learn JavaScript Quickly,Code Quickly,Grant Tharp,$19.95,https://m.media-amazon.com/images/I/51pPLLoGTjL._SL500_.jpg
Discovery (Explore Behaviour Using Examples),Gaspar Nagy,Rebecca Roberts,$6.95,https://m.media-amazon.com/images/I/51boeiOobEL._SL500_.jpg
"Excel VBA: 3 Books in 1- A Comprehensive Beginners Guide+ Tips and Tricks+ Simple, Effective and Advanced Strategies to learn Excel VBA",Daniel Jones,William Bahl,$14.95,https://m.media-amazon.com/images/I/51x2-6j9dfL._SL500_.jpg
"WWHW, Why, What, How-to, What-If: Easily Create a Book, Podcast, or Online Course in Just a Few Easy-to-Follow Steps",Robert Plank,Robert Plank,$14.95,https://m.media-amazon.com/images/I/51yL3LcYR2L._SL500_.jpg
Python - 2 Books in 1,Denny Novikov,Geoff Scott,$24.95,https://m.media-amazon.com/images/I/41cvccDX+fL._SL500_.jpg
Cybersecurity: 3 Books in 1,John Knowles,Scott Clem,$24.95,https://m.media-amazon.com/images/I/515VzRzZLuL._SL500_.jpg
SEO White Book,R. L. Adams,Smokey Rivers,$6.95,https://m.media-amazon.com/images/I/51EBwZoilpL._SL500_.jpg
Make Money Blogging: 2 Books in 1,Maxwell J. Pods,Leigh Ann Haga,$24.95,https://m.media-amazon.com/images/I/51DlbQTIPUL._SL500_.jpg
Effective Cybersecurity for Beginners,John Knowles,Marty Ravenel,$24.95,https://m.media-amazon.com/images/I/51UN7je871L._SL500_.jpg
A Human Algorithm,Flynn Coleman,Flynn Coleman,$17.49,https://m.media-amazon.com/images/I/51+eF3YociL._SL500_.jpg
The Future of the Mind,Michio Kaku,Feodor Chin,$25.59,https://m.media-amazon.com/images/I/51nSxQl-qSL._SL500_.jpg
Programming for Beginners: 3 Books in 1 - HTML+CSS+JavaScript,MG Martin,William Bahl,$14.95,https://m.media-amazon.com/images/I/51KbX63JqFL._SL500_.jpg
Information Architecture,Louis Rosenfeld,Theodore O'Brien,$39.99,https://m.media-amazon.com/images/I/51Nt4VAv39L._SL500_.jpg
"The Simulation Hypothesis: An MIT Computer Scientist Shows Why AI, Quantum Physics, and Eastern Mystics All Agree We Are in a Video Game",Rizwan Virk,Kory Getman,$19.95,https://m.media-amazon.com/images/I/51S2AqygvBL._SL500_.jpg
Computer Programming Crash Course: 7 Books in 1,Julian James McKinnon,Ivan Busenius,$29.95,https://m.media-amazon.com/images/I/51ifNGIbxrL._SL500_.jpg
The Cyber Risk Handbook,Domenic Antonucci,Mark Schectman,$24.95,https://m.media-amazon.com/images/I/51JtZUk-3gL._SL500_.jpg
"Python: The Complete 3 Books in 1 for Beginners, Intermediate and 21 Sample Codes and Advance Crash Course Guide in Python Programming",Zach Webber,William Bahl,$14.95,https://m.media-amazon.com/images/I/51OZOUv5sRL._SL500_.jpg
Powershell: 5 Books in 1,Daniel Jones,William Bahl,$19.95,https://m.media-amazon.com/images/I/61hjH9NsMCL._SL500_.jpg
Managing Humans,Michael Lopp,TJ Johnson,$24.95,https://m.media-amazon.com/images/I/51SocI-mltL._SL500_.jpg
"Cybersecurity: 3 Books in 1: Beginners, Intermediate and Advance Guide in Cybersecurity Measures Effectively",Zach Webber,William Bahl,$14.95,https://m.media-amazon.com/images/I/519KUY58HGL._SL500_.jpg
Machine Learning: 3 Books in 1,Oliver Deep,Ron Garner,$24.95,https://m.media-amazon.com/images/I/51ILr1yvEIL._SL500_.jpg
"Mastering the Basics of Ethereum: The Only Guide You’ll Need to Understanding Ethereum, Blockchain, Smart Contracts, ICOs, and Decentralized Apps",Mehdi Ben,Kevin Hurst,$6.95,https://m.media-amazon.com/images/I/51xfPDzBwdL._SL500_.jpg
Deep Medicine,Eric Topol,Graham Winton,$27.99,https://m.media-amazon.com/images/I/412l8mlfvIL._SL500_.jpg
The Digital Divide,Mark Bauerlein,Xe Sands,$23.62,https://m.media-amazon.com/images/I/51AslKQ8xTL._SL500_.jpg
Rule of the Robots,Martin Ford,Ian Carlsen,$29.65,https://m.media-amazon.com/images/I/515YrAkEmIL._SL500_.jpg
Python Programming: 3 Books in 1,Clive Campbell,Austin R. Stoler,$24.95,https://m.media-amazon.com/images/I/61aZSs9J1mL._SL500_.jpg
Hacking: 3 Books in 1: A Beginners Guide for Hackers,Julian James McKinnon,Ivan Busenius,$24.95,https://m.media-amazon.com/images/I/51-jf6o99NL._SL500_.jpg
Thinking Better,Marcus du Sautoy,Mark Elstob,$30.79,https://m.media-amazon.com/images/I/41Cp49zyt+L._SL500_.jpg
40-Day Social Media Fast,Wendy Speake,Wendy Speake,$20.99,https://m.media-amazon.com/images/I/51iKpXBkjxL._SL500_.jpg
"Algorithms: The Complete Guide to the Computer Science & Artificial Intelligence Used to Solve Human Decisions, Advance Technology, Optimize Habits, Learn Faster & Your Improve Life (Two-Book Bundle)",Trust Genics,Jordan Gunner,$19.95,https://m.media-amazon.com/images/I/51IMaycc+YL._SL500_.jpg
"The Adventures of an IT Leader, Updated Edition",Robert D. Austin,Teri Schnaubelt,$27.99,https://m.media-amazon.com/images/I/51vJ0UsfpWL._SL500_.jpg
Life 3.0,Max Tegmark,Rob Shapiro,$26.17,https://m.media-amazon.com/images/I/51ELIbvwnRL._SL500_.jpg
Learning Agile,Andrew Stellman,TJ Johnson,$39.99,https://m.media-amazon.com/images/I/51cw0TB3iwS._SL500_.jpg
Data Science for Business,Foster Provost,Benjamin Lange,$49.99,https://m.media-amazon.com/images/I/518qCPUCDGL._SL500_.jpg
Org Design for Design Orgs,Peter Merholz,TJ Johnson,$39.99,https://m.media-amazon.com/images/I/51odpc7OOvL._SL500_.jpg
"Audio for Authors: Audiobooks, Podcasting, and Voice Technologies",Joanna Penn,Joanna Penn,$19.95,https://m.media-amazon.com/images/I/41oZxDlkmiL._SL500_.jpg
Coding Languages Halfway: 6 Books in 1,Zach Webber,William Bahl,$19.95,https://m.media-amazon.com/images/I/61ZK0jYvEVL._SL500_.jpg
How to Do Nothing,Jenny Odell,Rebecca Gibel,$17.49,https://m.media-amazon.com/images/I/61DV5ARPuxL._SL500_.jpg
Faster,Neal Bascomb,Edoardo Ballerini,$24.49,https://m.media-amazon.com/images/I/51PfmlF7O7L._SL500_.jpg
Genius Makers,Cade Metz,John Lee,$28.35,https://m.media-amazon.com/images/I/413CsgekwlL._SL500_.jpg
Artificial Intelligence,Chris Neil,Timothy Burke,$24.95,https://m.media-amazon.com/images/I/51odl8EFPuL._SL500_.jpg
